feature,normalized_score,feature_type,rank
stem-width,1.0,numeric,1
stem-root,1.0,categorical,2
cap-diameter,0.8750064490312541,numeric,3
veil-color,0.8481102889082844,categorical,4
spore-print-color,0.5933494029809915,categorical,5
stem-surface,0.5427579325250357,categorical,6
stem-height,0.38871402758812656,numeric,7
cap-surface,0.3651109043318182,categorical,8
cap-color,0.3445414834422829,categorical,9
stem-color,0.3359568284924998,categorical,10
gill-attachment,0.2697547390785702,categorical,11
gill-color,0.22134119835172597,categorical,12
ring-type,0.21299630360272606,categorical,13
habitat,0.17678669392275773,categorical,14
cap-shape,0.14064600646666153,categorical,15
season,0.10353616880609956,categorical,16
gill-spacing,0.07334399728475816,categorical,17
veil-type,0.026280625028257776,categorical,18
has-ring,0.015956228011378845,categorical,19
does-bruise-or-bleed,0.014178300890062032,categorical,20
