feature,importance
stem-width,0.14216209149022532
cap-diameter,0.0840811151841322
stem-color_w,0.05475582552911454
gill-spacing_d,0.04776520806005782
gill-attachment_p,0.03594094067822417
stem-surface_s,0.03482772899842294
ring-type_z,0.03253839417448944
gill-color_w,0.031624699414661894
stem-surface_missing,0.029519594466152373
gill-attachment_missing,0.027817192253966186
stem-surface_g,0.02574495633065611
cap-surface_k,0.023541670278732968
stem-root_r,0.023170573298331217
cap-color_r,0.022682014119564716
gill-attachment_e,0.022620679175676704
cap-surface_s,0.022466022961793005
gill-color_n,0.021639647426897533
cap-shape_b,0.020613542267368716
cap-surface_y,0.018489347391457026
cap-color_n,0.018096174755485382
cap-color_e,0.01630001035699941
cap-surface_t,0.015354246477452572
stem-surface_y,0.015281203350578249
gill-attachment_a,0.015022996947305299
season_w,0.014894890131844009
stem-color_y,0.0144983743497573
stem-color_n,0.014263205114268183
cap-shape_x,0.014229382331821054
spore-print-color_missing,0.013816066980018485
habitat_g,0.012961596491190268
stem-color_g,0.012895338180242752
stem-root_c,0.011085895593260849
cap-color_g,0.01011136330608596
stem-root_b,0.007794398232545641
stem-color_p,0.007748594601338056
stem-surface_h,0.006575567365674344
cap-color_b,0.006567460226031848
ring-type_missing,0.006428030305525702
cap-surface_i,0.006143071921562576
stem-color_e,0.0059032094724202466
cap-color_o,0.00584579782732243
season_s,0.005738334674158171
habitat_l,0.005436537985740102
veil-color_y,0.0048536840153354495
spore-print-color_k,0.004822067899550345
veil-color_n,0.0026848513878461157
habitat_w,0.001122795434344291
stem-color_b,0.0006090377395964333
habitat_p,0.0005426777503703485
spore-print-color_n,0.00037189529440320674
